;Bezeichnung;Anzahl Schritte;S1_Prog;S1_Tool;S2_Prog;S2_Tool;S3_Prog;S3_Tool;S4_Prog;S4_Tool;S5_Prog;S5_Tool;S6_Prog;S6_Tool;S7_Prog;S7_Tool;S8_Prog;S8_Tool
30009831;DUP;2;3;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0
30007831;T30 2AVP;6;6;2;3;1;4;3;4;3;5;4;5;4;0;0;0;0
