;Bezeichnung;Anzahl Schritte;S1_Prog;S1_Tool;S2_Prog;S2_Tool;S3_Prog;S3_Tool;S4_Prog;S4_Tool;S5_Prog;S5_Tool;S6_Prog;S6_Tool;S7_Prog;S7_Tool;S8_Prog;S8_Tool
30009831;DUP;2.0;1.0;1.0;2.0;2.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
30007831;T30 2AVP;6.0;4.0;2.0;1.0;1.0;2.0;3.0;2.0;3.0;3.0;4.0;3.0;4.0;nan;nan;nan;nan
